"Week","PriceB1","PriceB1_1","PriceB1_2","S1_t","PriceB2","PriceB2_1","PriceB2_2","S2_t","PriceB3","PriceB3_1","PriceB3_2","S3_t","PriceB4","PriceB4_1","PriceB4_2","S4_t","PriceB5","PriceB5_1","PriceB5_2","S5_t"
39,1,0.9,1,64.3724781857582,1,1,0.8,76.2733148537731,1,0.9,1,51.7824517130572,1,0.7,1,43.8154771328865,0.9,1,1,308.510565772198
40,1,1,0.9,83.0136420495306,1,1,1,98.5338241517871,1,1,0.9,61.6455829151743,1,1,0.7,56.5057662891083,1,0.9,1,210.956769802076
41,0.9,1,1,143.836012756984,0.8,1,1,257.985060906633,1,1,1,63.8164130988112,1,1,1,77.6797276543746,0.8,1,0.9,349.453533127461
42,1,0.9,1,107.223987793218,1,0.8,1,64.7107927633317,1,1,1,85.7295496269745,1,1,1,166.210548897791,1,0.8,1,128.291598906948
43,1,1,0.9,83.4219975556013,1,1,0.8,70.1817148145748,1,1,1,91.1775867932201,0.8,1,1,418.647494606894,1,1,0.8,162.494263022289
44,0.7,1,1,565.226973618281,1,1,1,111.094673429119,1,1,1,73.763674747467,1,0.8,1,80.6794782855714,1,1,1,264.387455161919
45,1,0.7,1,56.457749147051,1,1,1,127.444127614191,0.8,1,1,232.760651940277,1,1,0.8,106.362584326495,1,1,1,265.514122841163
46,1,1,0.7,64.3808780532099,1,1,1,95.4157665095167,0.9,0.8,1,51.7124354845752,1,1,1,185.532497980011,0.8,1,1,802.516872538146
47,1,1,1,130.83065130516,0.9,1,1,207.185631149466,1,0.9,0.8,42.7574304895074,1,1,1,164.958528293164,1,0.8,1,223.01340966791
48,1,1,1,121.729793007133,0.9,0.9,1,119.183932817076,0.7,1,0.9,296.26376522073,1,1,1,161.142555734637,0.9,1,0.8,225.483332056646
49,1,1,1,127.060545441999,1,0.9,0.9,71.0495733247514,0.8,0.7,1,65.3808858389392,1,1,1,97.6103262842115,1,0.9,1,137.18273266633
50,1,1,1,107.777722153444,0.9,1,0.9,109.527298857801,0.7,0.8,0.7,71.8202096475197,1,1,1,111.846773395287,1,1,0.9,138.281765941219
51,1,1,1,92.9629060671342,1,0.9,1,74.2028660395846,1,0.7,0.8,20.2622535375012,1,1,1,166.587869998709,1,1,1,240.742197006915
52,0.8,1,1,213.26082369583,0.9,1,0.9,86.3275522041926,0.7,1,0.7,112.705087649778,1,1,1,103.103727586602,1,1,1,125.538505643932
53,1,0.8,1,44.6093920352845,0.9,0.9,1,90.6138440020774,0.8,0.7,1,58.6487578144717,1,1,1,109.45084927151,0.7,1,1,985.96731600748
54,1,1,0.8,67.9897860945343,0.8,0.9,0.9,103.303518503568,1,0.8,0.7,19.5476427818528,0.8,1,1,362.844349934418,1,0.7,1,85.1257306905174
55,1,1,1,125.025948255517,0.8,0.8,0.9,96.4175939563384,1,1,0.8,78.220535453402,1,0.8,1,71.1955476516321,1,1,0.7,144.586735075174
56,1,1,1,123.918618042824,0.7,0.8,0.8,108.916837076231,1,1,1,88.0097316990113,1,1,0.8,82.2290249892984,1,1,1,242.124500512146
57,1,1,1,135.008733163656,1,0.7,0.8,24.1011712764371,1,1,1,50.8989683861606,1,1,1,132.702889130005,0.8,1,1,630.766063573673
58,1,1,1,103.369504387143,1,1,0.7,44.9333874743755,1,1,1,70.6563291959198,0.7,1,1,588.926247124817,1,0.8,1,111.710482480017
59,1,1,1,121.370719946021,1,1,1,94.5627023359126,1,1,1,71.102191534683,1,0.7,1,72.3213159454576,1,1,0.8,191.801479371765
60,1,1,1,121.81197514641,1,1,1,73.3315776840308,0.7,1,1,295.295875386006,1,1,0.7,61.2671062398629,1,1,1,214.68962439872
61,0.7,1,1,404.458512613265,0.8,1,1,186.613768485394,1,0.7,1,20.974755511546,1,1,1,102.098411511698,0.8,1,1,329.937150830982
62,1,0.7,1,35.7921816910727,0.7,0.8,1,198.627537653492,1,1,0.7,39.245293898884,1,1,1,121.636070530899,0.7,0.8,1,420.658894187163
63,1,1,0.7,52.4495203987815,1,0.7,0.8,22.469110918831,1,1,1,79.9774889754119,1,1,1,168.113395675755,1,0.7,0.8,53.7740600334567
64,1,1,1,106.440490242423,1,1,0.7,39.5829674491969,0.7,1,1,266.131927981031,0.8,1,1,318.332819093987,1,1,0.7,81.9488137484221
65,1,1,1,154.210261819335,1,1,1,177.673631173493,1,0.7,1,36.1510289070768,0.9,0.8,1,153.95407190315,1,1,1,323.486726557084
66,1,1,1,109.47767727251,0.7,1,1,396.117193448966,1,1,0.7,43.6700568098984,1,0.9,0.8,91.5695359649858,1,1,1,284.285694473771
67,0.8,1,1,252.152953407764,1,0.7,1,41.6753385286361,0.7,1,1,302.015682777623,1,1,0.9,104.892268376397,1,1,1,219.108013903338
68,1,0.8,1,69.1420408475304,1,1,0.7,71.346991185117,1,0.7,1,32.8100814893053,0.7,1,1,883.276006685235,1,1,1,283.997030253473
69,1,1,0.8,112.713577015153,1,1,1,191.444945220251,1,1,0.7,49.0541380578368,1,0.7,1,100.705103359333,1,1,1,344.127150935561
70,0.8,1,1,404.880060969838,1,1,1,166.536599818857,1,1,1,83.2874894900856,1,1,0.7,97.3902937295638,1,1,1,331.446423700847
71,1,0.8,1,81.1235969160074,1,1,1,123.055054712698,1,1,1,88.8810049300111,0.7,1,1,645.369113050514,0.9,1,1,393.721894312741
72,1,1,0.8,98.7337758816573,1,1,1,147.748485791296,0.8,1,1,254.952729547455,1,0.7,1,66.6436637948258,0.7,0.9,1,1073.39131973303
73,1,1,1,106.829660983403,1,1,1,105.696165378166,0.8,0.8,1,105.582386177757,0.8,1,0.7,170.287944158864,1,0.7,0.9,73.7697887684697
74,1,1,1,155.866777734001,1,1,1,166.696022117792,0.9,0.8,0.8,48.4086512116871,1,0.8,1,79.8666622296015,1,1,0.7,142.799142221231
75,1,1,1,138.180213030631,1,1,1,90.4685146785668,1,0.9,0.8,49.2677858619505,1,1,0.8,136.822471858759,0.9,1,1,392.410326748795
76,1,1,1,105.159896284807,0.9,1,1,159.619946394489,1,1,0.9,75.5136032749492,0.9,1,1,265.845693029375,1,0.9,1,233.620826976525
77,1,1,1,160.913585474064,1,0.9,1,104.761425856548,1,1,1,71.9771229096184,1,0.9,1,146.821917762789,0.8,1,0.9,460.759007613183
78,1,1,1,139.682673132325,1,1,0.9,101.531281382338,1,1,1,101.171344768786,1,1,0.9,144.784941939931,0.9,0.8,1,285.901699939928
79,1,1,1,94.5618906905954,0.9,1,1,124.110146714377,0.7,1,1,266.792875562485,0.9,1,1,160.458951588351,0.8,0.9,0.8,267.86907172302
80,0.9,1,1,213.838375031192,1,0.9,1,114.122577420741,1,0.7,1,31.459465953016,1,0.9,1,132.16874533895,1,0.8,0.9,91.4629659133509
81,0.8,0.9,1,253.669006032109,1,1,0.9,93.980180613342,1,1,0.7,38.5288419753321,0.7,1,0.9,667.284763987947,1,1,0.8,144.369717800829
82,1,0.8,0.9,56.9775722864804,1,1,1,155.736507943066,1,1,1,120.16594557466,0.9,0.7,1,118.53266496484,1,1,1,315.27649358748
83,0.7,1,0.8,433.282975939054,1,1,1,129.581735872788,1,1,1,91.8055394262914,0.7,0.9,0.7,201.154904423442,1,1,1,221.073718964869
84,1,0.7,1,50.8469675437898,1,1,1,144.528558847416,1,1,1,119.777576413208,1,0.7,0.9,61.4564179507823,0.9,1,1,701.201844324682
85,1,1,0.7,117.045575043113,1,1,1,233.449451824474,1,1,1,102.420976833867,0.9,1,0.7,193.330046583514,1,0.9,1,278.916456565517
86,1,1,1,144.310633575422,1,1,1,129.635119242597,1,1,1,100.424886990433,0.9,0.9,1,204.830097079118,0.7,1,0.9,1418.48178495323
87,1,1,1,195.771633265794,1,1,1,193.775844111813,1,1,1,147.385242107028,1,0.9,0.9,225.362330628806,1,0.7,1,156.410234336332
88,1,1,1,186.984563587563,1,1,1,209.963705641463,1,1,1,179.091570107686,1,1,0.9,231.964614976069,1,1,0.7,247.712377935218
89,0.9,1,1,301.179179691142,1,1,1,112.375975191066,1,1,1,98.5525305831585,1,1,1,280.857432500922,1,1,1,270.898421401864
90,1,0.9,1,110.713430487818,1,1,1,116.473955479704,1,1,1,86.9103389820565,0.7,1,1,1174.92531322108,1,1,1,277.623772508687
91,1,1,0.9,121.73858183087,1,1,1,144.560644467655,1,1,1,75.1137749538589,0.7,0.7,1,332.703260188172,1,1,1,339.805259927569
92,1,1,1,137.138863527657,1,1,1,150.95572147426,1,1,1,76.5104216985018,0.8,0.7,0.7,64.2107359604344,0.7,1,1,1348.82600149331
93,1,1,1,180.809880804508,0.8,1,1,381.19149061385,0.8,1,1,361.693922288908,1,0.8,0.7,61.8175774903563,1,0.7,1,101.670143698263
94,1,1,1,156.392757922178,1,0.8,1,126.787041416349,1,0.8,1,65.9483347564815,1,1,0.8,194.828479785091,1,1,0.7,262.268024692273
95,1,1,1,321.796003916546,1,1,0.8,138.486598860377,1,1,0.8,107.643018751706,1,1,1,372.758451355094,1,1,1,430.525672612925
96,0.9,1,1,185.664569301971,1,1,1,135.95986720335,0.8,1,1,256.097428276061,0.9,1,1,383.70696819589,0.7,1,1,1489.78197300305
97,1,0.9,1,163.254725396335,1,1,1,221.13068453585,1,0.8,1,76.5693278487348,0.9,0.9,1,434.842437516711,1,0.7,1,169.450273673035
98,0.7,1,0.9,521.741730301582,1,1,1,200.634708453649,1,1,0.8,74.4456275575727,0.8,0.9,0.9,385.134668357054,1,1,0.7,204.267457435166
99,1,0.7,1,75.5312977639391,1,1,1,221.260641401201,0.9,1,1,185.297155447156,0.8,0.8,0.9,320.423217185673,1,1,1,353.112033812903
100,1,1,0.7,146.631763161148,1,1,1,167.788987331546,0.7,0.9,1,382.032463147212,1,0.8,0.8,87.5791929915052,1,1,1,417.524976174771
101,1,1,1,188.922034447103,1,1,1,160.65094930813,0.9,0.7,0.9,82.5964656715318,1,1,0.8,117.180882777896,1,1,1,416.497680007184
102,1,1,1,120.000905565248,1,1,1,151.305437088871,1,0.9,0.7,37.9010977080402,0.9,1,1,230.765166975877,0.7,1,1,1319.91050150347
103,1,1,1,135.450475446606,0.9,1,1,163.222050804997,1,1,0.9,83.5032527971577,0.7,0.9,1,558.810708009466,0.8,0.7,1,312.696062086348
104,1,1,1,154.053049162908,0.9,0.9,1,142.656353777064,0.7,1,1,467.616321402559,1,0.7,0.9,53.9795652799553,1,0.8,0.7,75.2611168514823
105,0.8,1,1,332.816417666077,0.9,0.9,0.9,144.937263138421,1,0.7,1,47.0626753274317,0.9,1,0.7,229.506421673788,1,1,0.8,236.0859774834
106,0.7,0.8,1,379.568446906092,1,0.9,0.9,93.1229467008725,0.7,1,0.7,223.782252890675,1,0.9,1,191.479425210327,1,1,1,258.450424148799
107,0.8,0.7,0.8,95.7533141380356,1,1,0.9,141.174538253168,1,0.7,1,55.72050814145,1,1,0.9,165.570527062387,1,1,1,417.933900043456
108,1,0.8,0.7,69.0266447360164,1,1,1,164.675020339788,1,1,0.7,72.2388621965202,1,1,1,275.430532881797,1,1,1,554.655177732509
109,0.9,1,0.8,172.12496962739,1,1,1,204.009659443656,0.9,1,1,131.545673423406,1,1,1,267.240464319735,1,1,1,386.28403853634
110,1,0.9,1,104.278774152723,1,1,1,109.820670362267,1,0.9,1,62.6946437213382,0.8,1,1,599.464202248554,0.7,1,1,2017.53513777101
111,1,1,0.9,205.194186830477,0.8,1,1,457.608120434737,1,1,0.9,105.474553089332,1,0.8,1,121.247385473401,0.9,0.7,1,261.080422451964
112,1,1,1,201.32545993192,1,0.8,1,97.7617022120381,1,1,1,122.18983365695,1,1,0.8,160.478780888338,1,0.9,0.7,194.408565557614
113,0.8,1,1,365.320392868724,0.9,1,0.8,135.194461407159,1,1,1,105.602536385567,0.7,1,1,983.731698559974,1,1,0.9,192.880012734328
114,0.9,0.8,1,137.524749664866,0.8,0.9,1,269.337497445476,1,1,1,135.555439250589,1,0.7,1,69.1307991026589,1,1,1,514.878285475058
115,0.8,0.9,0.8,178.679169045016,1,0.8,0.9,52.4449413295989,0.9,1,1,181.318479700933,1,1,0.7,128.094839678056,1,1,1,366.538510822611
116,0.7,0.8,0.9,309.787093955429,0.7,1,0.8,307.152150861755,1,0.9,1,58.7159236503174,0.7,1,1,919.965459210851,1,1,1,183.935118481194
117,1,0.7,0.8,63.9102455524812,1,0.7,1,83.6380200022019,1,1,0.9,134.980652717292,1,0.7,1,117.723123388677,1,1,1,580.597519760886
118,0.9,1,0.7,169.441767597995,1,1,0.7,52.1792736857197,0.7,1,1,474.501257531313,0.8,1,0.7,246.146350291346,1,1,1,427.208735972389
119,0.7,0.9,1,644.487834721678,1,1,1,191.605867961598,1,0.7,1,44.0258162467277,1,0.8,1,153.182074534336,0.8,1,1,1333.04475600175
120,1,0.7,0.9,110.372840383746,1,1,1,310.939908731389,1,1,0.7,92.0333653212468,0.8,1,0.8,590.244383696319,1,0.8,1,261.779689376183
121,1,1,0.7,143.39790074275,0.9,1,1,333.439572095631,1,1,1,182.359197267601,0.9,0.8,1,331.265201122668,1,1,0.8,458.140848574218
122,0.9,1,1,443.608194856497,1,0.9,1,218.768020346824,1,1,1,156.686700717727,0.8,0.9,0.8,394.750877969404,0.9,1,1,745.271327864599
123,0.7,0.9,1,597.997233499889,0.8,1,0.9,372.296904468466,1,1,1,148.326439332818,1,0.8,0.9,141.704508224606,1,0.9,1,304.805281093459
124,1,0.7,0.9,118.252348552747,1,0.8,1,157.317485859402,1,1,1,182.712829566486,1,1,0.8,252.55487991968,0.9,1,0.9,794.61667915771
125,1,1,0.7,92.8378557904295,1,1,0.8,148.525203955472,0.9,1,1,196.832502701287,0.9,1,1,436.351369380474,1,0.9,1,332.154973073546
126,1,1,1,202.794736881108,1,1,1,215.999139436935,1,0.9,1,104.639632336849,1,0.9,1,188.421996989823,1,1,0.9,433.487321371818
127,1,1,1,229.084901016152,1,1,1,205.852170928792,1,1,0.9,106.988176563572,0.8,1,0.9,485.596135346451,1,1,1,438.617610509996
128,1,1,1,180.211102628233,1,1,1,141.538392976147,1,1,1,75.4890879887487,0.8,0.8,1,393.413217169482,0.7,1,1,1635.4012574516
129,1,1,1,225.468370208916,1,1,1,247.857486766109,0.9,1,1,192.1310063503,1,0.8,0.8,77.2354433779262,0.8,0.7,1,387.386892395975
130,0.8,1,1,698.962410119432,1,1,1,214.51048193256,1,0.9,1,118.115803048507,1,1,0.8,224.000033187762,1,0.8,0.7,169.376571275365
131,1,0.8,1,102.264914856958,0.9,1,1,270.540161087823,1,1,0.9,131.982753056589,0.9,1,1,423.1498366026,0.8,1,0.8,755.417625056353
132,1,1,0.8,200.481989477672,1,0.9,1,157.323239736056,0.9,1,1,307.93222402317,1,0.9,1,262.08156738245,1,0.8,1,203.3298136289
133,0.9,1,1,390.155763436041,1,1,0.9,204.053672102249,1,0.9,1,128.89319356422,1,1,0.9,204.687858463047,0.7,1,0.8,1711.03950870388
134,0.7,0.9,1,626.558527141876,1,1,1,205.283561210677,0.8,1,0.9,425.64203642244,1,1,1,426.85098496229,1,0.7,1,160.899270722418
135,1,0.7,0.9,109.164390075658,1,1,1,217.327190077424,0.8,0.8,1,276.503418529957,1,1,1,274.32234002011,0.9,1,0.7,692.156994845535
136,1,1,0.7,142.683441776407,0.7,1,1,703.7858392464,1,0.8,0.8,61.9882455239801,1,1,1,328.54875974787,0.9,0.9,1,648.527541651111
137,1,1,1,249.176555853244,0.8,0.7,1,156.04445979364,1,1,0.8,96.3119010879967,1,1,1,297.165484904065,0.8,0.9,0.9,1014.74448666387
138,1,1,1,391.203517916437,1,0.8,0.7,80.9090010133836,1,1,1,248.885525133096,1,1,1,558.579026645692,1,0.8,0.9,344.515087443352
139,0.7,1,1,780.677562266586,1,1,0.8,170.954709651099,0.9,1,1,308.74169067901,1,1,1,406.305749390329,1,1,0.8,407.284101319874
140,1,0.7,1,87.6856254748662,0.9,1,1,391.112194178397,1,0.9,1,147.302199443898,0.7,1,1,1434.87612327281,0.7,1,1,1995.07579333753
141,0.8,1,0.7,245.769595784673,1,0.9,1,136.749596113862,0.9,1,0.9,169.192410969999,1,0.7,1,108.480408040771,1,0.7,1,167.128009420446
142,0.8,0.8,1,241.480264898212,1,1,0.9,195.753103706943,1,0.9,1,95.1097066567631,1,1,0.7,138.821288227985,0.7,1,0.7,972.294182869004
143,0.7,0.8,0.8,303.676142003969,1,1,1,226.421755047814,1,1,0.9,109.234409641317,0.9,1,1,598.726186617373,0.9,0.7,1,222.002049156679
144,1,0.7,0.8,66.2922388669429,1,1,1,310.765959393568,0.9,1,1,272.869370492388,1,0.9,1,235.67325662247,1,0.9,0.7,182.947768826549
145,0.7,1,0.7,462.970383368738,0.7,1,1,690.481916086377,1,0.9,1,119.023181520042,1,1,0.9,368.443338348097,1,1,0.9,435.666881276822
146,1,0.7,1,128.932879755617,1,0.7,1,142.077058296632,1,1,0.9,199.232975028321,1,1,1,576.485860833645,1,1,1,1087.14849841381
147,0.8,1,0.7,479.075776694679,1,1,0.7,119.038029118369,0.9,1,1,333.371770704158,1,1,1,544.126485294726,1,1,1,704.357838434903
148,1,0.8,1,179.000326101831,1,1,1,355.820727887585,1,0.9,1,212.534704906288,0.9,1,1,660.209783481392,1,1,1,620.055948222489
149,1,1,0.8,286.938474211025,1,1,1,404.826725501908,1,1,0.9,193.095339977418,1,0.9,1,410.836167133512,1,1,1,812.054845319922
150,0.9,1,1,628.176289953495,1,1,1,319.499300582764,1,1,1,223.447015033802,1,1,0.9,431.619415921529,1,1,1,1285.67925544455
151,1,0.9,1,265.139222791121,0.7,1,1,1316.43513398258,1,1,1,225.880215745208,1,1,1,426.811317800188,1,1,1,726.884840761278
152,1,1,0.9,299.921992631263,0.9,0.7,1,181.376973118634,0.9,1,1,416.543549888831,1,1,1,499.383376289464,0.9,1,1,1261.89890967188
153,1,1,1,326.052004400597,1,0.9,0.7,108.599517677975,1,0.9,1,116.106053023335,1,1,1,402.683341264909,0.7,0.9,1,1639.51252932234
154,0.8,1,1,517.101892794491,0.7,1,0.9,586.865893574907,0.9,1,0.9,172.346457777518,1,1,1,316.449113514259,1,0.7,0.9,141.279881975092
155,1,0.8,1,98.8656759804657,0.7,0.7,1,238.398947235181,0.7,0.9,1,530.192519143386,1,1,1,217.596155570415,0.8,1,0.7,469.227712980674
156,1,1,0.8,222.414228704797,1,0.7,0.7,56.0083040538279,1,0.7,0.9,72.1967153201794,1,1,1,499.448509310925,1,0.8,1,348.183795804622
